cidade,uf,mes,ano,mes_ano,n_usuarios_internet,velocidade_media_mbps,n_dispositivos_conectados,indice_inovacao,investimento_publico_tecnologia,eventos_tecnologicos_realizados,startups_ativas,patentes_registradas
Rio de Janeiro,RJ,1,2000,2000m01,49919,35.84,13282,0.801,142048.91,3,166,5
São Paulo,SP,2,2000,2000m02,50156,25.7,70442,0.715,252031.35,2,163,5
Porto Alegre,RS,3,2000,2000m03,49743,52.8,85401,0.621,733270.1,3,93,5
Curitiba,PR,4,2000,2000m04,49536,64.31,14825,0.192,555814.66,2,129,5
Curitiba,PR,5,2000,2000m05,50064,40.03,53201,0.8,434652.26,3,226,3
Belo Horizonte,MG,6,2000,2000m06,50244,50.55,79367,0.032,790078.56,3,19,3
Rio de Janeiro,RJ,7,2000,2000m07,49771,68.26,95267,0.219,737340.71,3,292,6
Recife,PE,8,2000,2000m08,49871,66.77,35264,0.549,188796.61,4,66,5
Rio de Janeiro,RJ,9,2000,2000m09,49957,41.27,51637,0.476,738482.36,4,45,8
Manaus,AM,10,2000,2000m10,50071,54.07,75767,0.691,501034.37,5,249,7
Fortaleza,CE,11,2000,2000m11,49862,35.96,56180,0.793,268199.59,4,136,5
São Paulo,SP,12,2000,2000m12,49972,28.25,54449,0.865,677703.4,7,183,4
São Paulo,SP,1,2001,2001m01,49788,70.37,18379,0.965,222250.56,8,272,4
Rio de Janeiro,RJ,2,2001,2001m02,50059,18.0,65556,0.553,992869.15,4,114,3
Curitiba,PR,3,2001,2001m03,50069,52.86,10203,0.581,893009.39,5,233,4
Curitiba,PR,4,2001,2001m04,49871,44.45,66464,0.561,312284.75,5,288,6
Recife,PE,5,2001,2001m05,50121,58.23,14153,0.896,632465.49,4,150,6
Manaus,AM,6,2001,2001m06,49699,39.73,78641,0.772,956777.87,3,119,5
São Paulo,SP,7,2001,2001m07,49837,67.12,60709,0.497,898551.7,1,177,4
Recife,PE,8,2001,2001m08,49876,46.67,28931,0.684,435090.81,5,172,3
Curitiba,PR,9,2001,2001m09,50029,71.77,21517,0.305,658990.96,6,241,4
Recife,PE,10,2001,2001m10,50453,53.28,63507,0.166,749692.8,2,21,1
Fortaleza,CE,11,2001,2001m11,50062,34.25,61268,0.047,215339.41,5,47,5
Curitiba,PR,12,2001,2001m12,49636,58.14,29085,0.415,559979.56,7,209,7
Brasília,DF,1,2002,2002m01,49460,56.26,27296,0.372,767446.96,1,117,8
Manaus,AM,2,2002,2002m02,49929,48.39,83930,0.759,130089.27,2,117,8
Porto Alegre,RS,3,2002,2002m03,50240,38.77,67838,0.503,289737.08,5,81,5
São Paulo,SP,4,2002,2002m04,49854,62.91,19564,0.171,526821.16,4,220,6
Belo Horizonte,MG,5,2002,2002m05,49725,35.52,29781,0.098,702198.91,1,194,11
Fortaleza,CE,6,2002,2002m06,50188,37.1,62298,0.08,993235.07,6,139,6
Salvador,BA,7,2002,2002m07,50137,57.91,19630,0.018,898988.66,3,67,7
Porto Alegre,RS,8,2002,2002m08,50187,46.84,32561,0.075,745973.37,1,155,5
Belo Horizonte,MG,9,2002,2002m09,49909,20.53,72850,0.754,372527.22,4,60,1
Curitiba,PR,10,2002,2002m10,50280,35.57,56268,0.773,967489.75,4,208,9
Salvador,BA,11,2002,2002m11,49890,56.09,71084,0.355,769871.09,6,265,9
Rio de Janeiro,RJ,12,2002,2002m12,49876,45.95,90158,0.033,709161.75,3,62,3
Rio de Janeiro,RJ,1,2003,2003m01,50154,48.48,84407,0.129,876445.0,4,153,6
Fortaleza,CE,2,2003,2003m02,50316,53.93,55893,0.507,597159.09,2,172,4
Rio de Janeiro,RJ,3,2003,2003m03,49695,56.84,41963,0.977,533849.55,4,255,1
Salvador,BA,4,2003,2003m04,50178,51.74,36199,0.122,124169.62,2,282,4
Salvador,BA,5,2003,2003m05,50187,0.08,71197,0.154,600331.5,2,66,3
Manaus,AM,6,2003,2003m06,50014,49.17,49454,0.405,779304.5,3,48,5
Porto Alegre,RS,7,2003,2003m07,49878,42.25,71465,0.616,158931.48,4,31,8
